lexeme,variants,gen,sg,pl
à-côté,à-côté:accoté,m,akOte,akOte
à-coup,à-coup,m,aku,aku
à-peu-près,à-peu-près,m,apØpʁɛ,apØpʁɛ
à-pic,à-pic,m,apik,apik
à-plat,à-plat:aplat,m,apla,apla
à-propos,à-propos,m,apʁOpo,apʁOpo
à-valoir,à-valoir,m,avalwaʁ,avalwaʁ
a,a:ha,m,a,a
aa,aa,m,aa,aa
abaca,abaca,m,abaka,abaka
abaisse-langue,abaisse-langue,m,abɛslɑ̃g,abɛslɑ̃g
abaisse,abaisse:abbesse,f,abɛs,abɛs
abaissement,abaissement,m,abɛsəmɑ̃,abɛsəmɑ̃
abalone,abalone,m,abalɔn,abalɔn
abandon,abandon,m,abɑ̃dɔ̃,abɑ̃dɔ̃
abandonneur,abandonneur,m,abɑ̃dOnœʁ,abɑ̃dOnœʁ
abaque,abaque,m,abak,abak
abat-jour,abat-jour,m,abaʒuʁ,abaʒuʁ
abat-son,abat-son,m,abasɔ̃,abasɔ̃
abat,abat,m,aba,aba
abatage,abatage:abattage,m,abataʒ,abataʒ
abatis,abatis:abattis,m,abati,abati
abattant,abattant,m,abatɑ̃,abatɑ̃
abattement,abattement,m,abatəmɑ̃,abatəmɑ̃
abatteur,abatteur,m,abatœʁ,abatœʁ
abattoir,abattoir,m,abatwaʁ,abatwaʁ
abattu,abattu,m,abaty,abaty
abatture,abatture,f,abatyʁ,abatyʁ
abbatiale,abbatiale,f,abasjal,abasjal
abbaye,abbaye,f,abEi,abEi
abbé,abbé,m,abe,abe
abc,abc,m,abEse,abEse
abcès,abcès,m,apsɛ,apsɛ
abdication,abdication,f,abdikasjɔ̃,abdikasjɔ̃
abdo,abdo,m,abdo,abdo
abdomen,abdomen,m,abdOmɛn,abdOmɛn
abdominaux,abdominaux,m,#DEF#,abdOmino
abduction,abduction,f,abdyksjɔ̃,abdyksjɔ̃
abécédaire,abécédaire,m,abEsEdɛʁ,abEsEdɛʁ
abeille,abeille,f,abɛj,abɛj
aber,aber,m,abɛʁ,abɛʁ
aberration,aberration,f,abEʁasjɔ̃,abEʁasjɔ̃
abêtissement,abêtissement,m,abEtisəmɑ̃,abEtisəmɑ̃
abîme,abîme:abyme,m,abim,abim
abjection,abjection,f,abʒEksjɔ̃,abʒEksjɔ̃
abjuration,abjuration,f,abʒyʁasjɔ̃,abʒyʁasjɔ̃
ablatif,ablatif,m,ablatif,ablatif
ablation,ablation,f,ablasjɔ̃,ablasjɔ̃
able,able,m,abl,abl
ablette,ablette,f,ablɛt,ablɛt
ablution,ablution,f,ablysjɔ̃,ablysjɔ̃
abnégation,abnégation,f,abnEgasjɔ̃,abnEgasjɔ̃
aboi,aboi,m,abwa,abwa
aboiement,aboiement,m,abwamɑ̃,abwamɑ̃
abolition,abolition,f,abOlisjɔ̃,abOlisjɔ̃
abolitionniste,abolitionniste,b,abOlisjOnist,abOlisjOnist
abomination,abomination,f,abOminasjɔ̃,abOminasjɔ̃
abondance,abondance,f,abɔ̃dɑ̃s,abɔ̃dɑ̃s
abonné,abonné,m,abOne,abOne
abonnée,abonnée,f,abOne,abOne
abonnement,abonnement,m,abɔnəmɑ̃,abɔnəmɑ̃
abord,abord,m,abɔʁ,abɔʁ
abordage,abordage,m,abɔʁdaʒ,abɔʁdaʒ
aborigène,aborigène,b,abOʁiʒɛn,abOʁiʒɛn
abornement,abornement,m,abɔʁnəmɑ̃,abɔʁnəmɑ̃
abouchement,abouchement,m,abuʃəmɑ̃,abuʃəmɑ̃
aboulie,aboulie,f,abuli,abuli
aboulique,aboulique,b,abulik,abulik
abouna,abouna,m,abuna,abuna
about,about,m,abu,abu
aboutissant,aboutissant,m,abutisɑ̃,abutisɑ̃
aboutissement,aboutissement,m,abutisəmɑ̃,abutisəmɑ̃
aboyeur,aboyeur,m,abwajœʁ,abwajœʁ
abracadabra,abracadabra,m,abʁakadabʁa,abʁakadabʁa
abrasif,abrasif,m,abʁazif,abʁazif
abrasion,abrasion,f,abʁazjɔ̃,abʁazjɔ̃
abraxas,abraxas,m,abʁaksas,abʁaksas
abrégé,abrégé,m,abʁEʒe,abʁEʒe
abreuvage,abreuvage,m,abʁØvaʒ,abʁØvaʒ
abreuvoir,abreuvoir,m,abʁØvwaʁ,abʁØvwaʁ
abréviation,abréviation,f,abʁEvjasjɔ̃,abʁEvjasjɔ̃
abri-refuge,abri-refuge,m,abʁiʁəfyʒ,abʁiʁəfyʒ
