Your the best....you made me feel so much better about myself__																																				
___																																				
2 years after you posted this video	 someone (me) can still relate and find hope in it. You are such a beautiful person and I am so happy that you are still on Youtube. Your story is inspiring even after 2 years. Keep up the good work. <3																																			
Gabbie I know you probably won't see this but please talk more about this I need to know if I need help																																				
It's ok	 baby. We love you	 you bella regazza (beautiful girl) ______																																		
this helped me out a lot. I'm currently battling Anorexia and this is giving me motivation to not let it control my life.																																				
"I don't..have an eating disorder. But..I have depression. Listen to my story if you wish, but since I'll never meet you it'll feel good to uhm. Get this out. It started fourth grade. I..cried everyday sometimes for no reason and sometimes because of the bullies. My depression..lead to my..low self asteem which I still have..and I uhm..it lead to self harm. I cut..and cut..with scissor ends. I didnt see a girl I loved and I still don't. I uhm started losing interest in everything..I got axienty worrying about what people thought about me. And I have nightmares..flashbacks..about my bullies being physicaly beat. Scared to be someone..not..the same as everybody. I needed to be the best, so I studied, ate less, turned down all my friends and ignored their compliments. Listened to bullies more and I never thought once in my head that they were wrong, I was always like ""Wow im such a pig"" or, ""Ew. I'm hideous."" I've uhm..well always believed that I didnt belong. Then fifth grade hit. I lost more interest than ever. Instead of study I focused more on cutting, which caused my grades to drop. I read hundreds of websites how on to lose weight. How to look better. And when people called me ugly I always thought, ""Wow maybe I should wear makeup or something."" Thats when, I uh, went to a hostipal for..well mental illness, and started taking counciling to get better. I'm still taking it, but it hasn't taken me that far. I'm only in sixth grade, being more social now, but my scars. Those are the things that will never leave."																																				
GABBIE I WANT YOUR BODY don't think your FAT																																				
Gabbie I was in a really dark place with my weight and after this video you've showed me I can be myself your such an inspiration and I look up to you so much sincerely thank you for everything you've done for me Xxxx																																				
Not to be that bitch but I have an ED and parts of this doesn't really sound believable...if you're eating 500-800 calories a day	 you're going to loose weight. Also unless you have no idea what eating disorders are	 how did you just not know that you had one? You were counting calories and chewing and spitting	 unless you've never heard of an eating disorder in your life or you're just extremely not self aware...there's no way you would've not known																																	
Gabby, please dont make fat jokes about yourselfe or anything in the relm of that because, i can see that it hurts you. Dont read fat comments because it breaks you. I can see the pain hiding behind this video. I can see that some of the things you said in this video you dont believe because you still think of yourself as that reflection in the mirror, that number on the scale or what other people see, dont take that in Gabby you are the most beautiful girl in my eyes and in 6 billion more you just need to believe that. I am going to comment the same thing on Shanes channel because i can see his pain too. Dont look down at your food or the scale princess, the crown will fall and if the crown does fall, then believe in yourself to pick it back up and learn to never drop it again. Stay beutiful Gabby__																																				
You're my favourite human ilysm																																				
Preach girl __																																				
I love you.																																				
there's no such thing as eating 500-800 calories and not losing weight medically, scientifically, humanly impossible i have an eating disorder and have had it for 8 years and trust me that's not possible																																				
I've been having problems and I have been scarred cause I am 12 almost 13 I was dumped at 11 cause he said I was starting to fat and that we couldn't be together anymore so I stoped I eat at all and one day I passed out i still have problems till this day what do I do pls help me someone this video helped a little but not as much help as I need ______																																				
Gabbie I just wanted to say that even if you are fat	 skinny	 tall	 short	 ugly	 prettyÉ You are perfect no matter what and you will always be my favorite person to be inspired by because you give me so much confidence in myself that I can be a better P.S I love you so much and wish the best for you________																															
Gabbie's mind: Gab you gotta eat food! Me: No shit sherlock No hate I love Gabbie but I just had to make this joke!!!!																																				
binge eating disorderÑ people think it's okay to comment on my way they tell me i'm too skinny that i don't look right like i'm not okay	 which brought me to this disorder. im 117 pounds for 13. i know it's normal but my body doesn't know																																			
I think your beautiful gabbie :)) no matter what u do. Don't be so mean to yourself (easier said then done) I had a binge eating disorder I never ate in school and I was sick everyday once I did eat... I'm glad I don't have to deal with that anymore :)																																				
I spent days eating 100 kcal																																				
that's what i would do after eating a big mac..miss out 3 days of breakfast																																				
i suffer from a eating disorder and i want to eat but at the same time i don't want to eat. i don't know it's just hard. no one cares so i honestly don't know why i am even typing this.																																				
"Your therapist is so much better than mine, the first one I went to told me I looked ""too healthy"" to have a eating disorder, the entire reason I went was to try to get over"																																				
wait. did she eat the goldfish...?																																				
AH ITS NOW SEPTEMBER 2017 AND YOURE COMFORTABLE WITH YOUR BODY AND SO HAPPY ITS SO GREAT IM SORRY BUT I LOVE THIS AND YOU SO MUCH IM SO PROUD UM ALRIGHT BYE																																				
Hey gabbie i dont know if your reading this but ive been subscribed to u for a while now and found tbis video on your channel i just want u to know that you are so beautiful and you have helped me so much in lifd because i for a long time have sturggled with my weight im not fat but people always call me that so now its in my head that i am its hard not waking up and thinking u cant eat today and u need to lose weight but instead of thinking that i watch your videos and it helps me so so much thank u i love u																																				
Can you do a video about your eating disorder in depth explaining it more?																																				
She had no idea how many people wish they had her body.																																				
Gabbie	 I can't thank you enough. I have eating disorders too	 I always think I'm fat and I just don't want to live. But this video helped me. I'm 13 and weigh 90 pounds. I'm still under weight and I'm still uncomfortable in my body but I was able to gain more weight. Last year I weighed 60 pounds. The average was 100. There was a point where I wouldn't eat for 3 days at a time so thank you and I love you. Keep doing you																																		
I Love you Gabbie																																				
"""Your 'before' photo, might be someone else's 'goals' photo"" Yeah, not if you're in rock bottom"																																				
I couldn't stop the tears from coming as I watched your video. So many of the things you've said I can relate to.																																				
inspired																																				
"I've never really had an eating disorder like that even though I call myself fat all the time. I've never wanted to try and lose weight because if I did I would die... I have Cystic Fibrosis and I've had it for my whole life. There's a lot of things that go on in my body, but it's all rooted to having more thick and sticky mucus that clog my lungs, digestive system, and sinuses. CF patients have sinus infections all the time. I had one last week and it sucked. I'm on medication for it and it's getting a lot better. My brother has CF too and we need to do hours of therapy, take tons of medication just to stay healthy, and there's still a lot we can't do. We can't run a mile without needing to stop get air. I can barely run at all without taking a break. That's just because I never run... Which I probably should do, but anyway. One downside/upside to having CF is trouble gaining weight. The downside is that our weight can drop so quickly by just being sick for a couple days and it's difficult to get back up. The upside is that we can eat a ton and still not be super fat. I'm 14 and 95 pounds. I need to eat a ton to get my weight healthy, and I used to be on medication for it and when I was younger I had to have a feeding tube in. It was the worst thing I have ever experienced. Now I don't need to be on meds or have a feeding tube in, but it's still a struggle just to keep my weight healthy and regular. I should probably not eat as much processed foods and junk food, but anything to keep my weight up is something I eat. But even though I don't see myself as skinny and have self image issues, everyone else seems to think I'm super skinny. I just don't see it. I look down and, sure I'm skinny, but to me it looks like I look a little fatter than I am. I want to try to fix that, but I just need to exercise and eat healthy, but I know if I go on a diet or stop eating I'll be hospitalized or just risk my life just to be ""skinny"", which just doesn't make sense to me. A lot of people with CF and just others in general have it a lot worse than me, so I don't completely hate my body because that's rude to how God made me and rude to people who actually are struggling a lot with eating disorders. So I'm pretty comfortable in my own skin, just sometimes it makes me self conscious when I look in the mirror and see someone who has a bunch of flaws. But most of the time I just love being me and getting to eat whatever I want."																																				
Could you remake this video? I feel like it wasn't explained as good as you could've																																				
I was on the verge of getting eating disorder...thank god...I am saved																																				
I don't understand why people call you fat! You are very skinny	 beautiful	 and funny and anyone reading this comment know that I think you are a beautiful person!																																		
Idk how I missed this video	 but you are so inspiring. Seeing you gain your confidence and take your happiness and health into your own hands has inspired me	 and for the first time I've actually been able to commit to getting my life on track																																		
god damn! 6:55 you should do slang poems _																																				
Wow after watching this I'm pretty sure i have an eating disorder__ also i want to say love you gab and thank you for sharing this with us__																																				
Please go into more depth it really helps																																				
I hate when people say Kylie Jenner is goals or people want to a certain people they admired be your self love your self and if you want change for self then change it but positively stay beautiful and true																																				
You're beautiful Gabbie																																				
Thank you for this.. I needed this so much																																				
You're such a beautiful person (inside and definitely out)																																				
I also track my calories. I eat 600-800 calories every day	 when I eat more I throw up. I know that this I not good for my body but I hate myself. Although I lost 11 Ibs I don't feel better. Everytime I look in the mirror I try not to cry because I feel so fucking ugly and worthless.																																			
I really hate people who likes to fat-shaming others! They might thought is just for fun but that's just makes others feels insecure (can be depressed sometimes) and sometimes it hurts a lot.																																				
__																																				
Wow	 I'm happy that Gabbie got help. I'm struggling with depression	 anxiety and an eating disorder																																		
It's 04:20 am and I had like 80 cal today	 so I'm pretty sure something isn't right after watching this. gonna have a talk to my fiancee (we're long distance) and see what she says.																																			
Urm... just realized that I only eat like 400 calories sometimes less a day. Thankyou for making this video because I didn't realize that 400 wasn't a lot and when you said that you were only eating like 800 I was like wait... that's small? then I was like gulp & ''oh snap'' So this opened my eyes and I didn't realize that it was bad. I'm so happy you spoke out about it that was really strong and brave	 you're awesome and I wanted to let you know that you really change lives with your story times	 not just this one. I know I don't usually comment and I'm a silent viewer but all of your videos are awesome and a lot are inspiring.																																		
"Thank you for being able to talk about this publicly. I'm 13 and trying to get an hour glass figure the ""easy way"" and it took me way to long to realized that I already have an amazing body I'm healthy and that should be all that matters. Mabry one day I'll be able to be as strong as you. I love you and thank you. -___"																																				
I-/																																				
You are an amazing person!!! I understand the struggles you have gone through and I am struggling to get through my own. Just remember that there are people out there that love you for just being you. xx																																				
"I remember when I was younger I tried to convince myself I was fat and I should eat less. It never worked. I think it was because my mum would drill into my head, ""You're beautiful just the way you are. You're body is beautiful, sweetheart."" She said as long as I was healthy, I would be ok. That's why I never had an eating disorder because of my mum. Thanks mum, you're the coolest. And you even play the drums <3"																																				
where my demons hide where my demons hide sorry i had to make that joke																																				
Last year I had a round with something along the lines of anorexia. I didn't eat 2 meals and only ate a little at dinner. I wore a corset for a play and the smallest one was too loose. You could see almost all of my ribs and I'd cry when I looked in the mirror. Now I'm eating 3 times a day and am working out and trying to be healthier. I feel happier and still stress sometimes but it's getting better every day. I wish I'd seen this sooner. I've just recently started watching your videos and you know when to be serious and when to make light of stuff. Thank you so much. We need more people like you																																				
I have a problem with eating too much. I'm chubby	 but not obese. I just have too much fat on me	 and I don't know how to fix it. It's hard to diet and work out.																																		
When I was 13 the boy liked said he didn't like fat girls and he would only date skinny girls. Im a U.K. size 8-10 and I have been since I hit puberty, but I felt like I was chubby. To make him like me I became anorexic so I would be skinny enough. I used to pretend to eat at home, didn't eat breakfast, gave my packed lunch to someone else at lunch time. Even when I stopped liking him, because id gotten myself into this horrific routine of looking at myself and thinking I was fat and then not eating. When I did eat I would make myself sick because I didn't want to be fat. This went on until I was 15 and a half, and I started eating again. Im now nearly 17 and I still don't eat much because I can't bring myself to because I still see myself as fat, regardless of having so much reassurance from people that I'm not. I really related to this, Gabbie. Thank you for sharing your story with us. I love you! Side note: i thought when she said goldfish she meant actual goldfish and i was really confused about why her friend didn't freak out.																																				
Am i the only one that can eat a PB&J sandwich at like 9:00am and dont feel hungry the rest of the day??																																				
I am feeling so confident about myself after watching this video	 HOLY CRAP______																																			
Dos anyone know how much gabbie weighs?																																				
Thank you so much you helped me a lot																																				
The number of dislikes.. Sorry __																																				
666 people disliked. Btw I really hope you're doing better	 Gabbie. You're strong!																																			
I'm 13 and I have binge eating disorder and I'm showing signs of anorexia because I've tried not to eat because I felt like people were judging me on what I eat and I thought people were watching me chew my food but I'm starting to get better I love you gabby and this is helpful because you helped me know that I'm not the only one struggling with this __																																				
Every time I wanna purge	 I watch this video and it helps so much! Thank you I love you!!																																			
Please please get in depth. As someone who has had and eating disorder since I was 12 this video helped																																				
"I go back and forth between binging and starving. Because of this, my body has gone through so much. I have stretch marks beyond_ belief from losing and gaining weight in short periods of time. And, I honestly feel absolutely disgusting 24/7. I have no energy. I've had so many people look at me and say, ""You can't have an eating disorder. You're not skinny."" But, no one knows because I binge in private. I can pass off the starving as ""dieting."" But, there's no happy medium for me. At all."																																				
Thank you so much for posting this. <3																																				
Gabs you are so hot please all ways love you cuz you are beautiful. Remember be YOU tiful!																																				
either people are lying or 80% gabbies views in this have an ED :/																																				
Thank u that really helps me																																				
When you have an ed (eating disorder) you believe your in control but when you realise you truly are sick you think 'WOW I really am sick' but the truth is you were sick the whole time but your mind lies to you and hides it from you																																				
I have a eating disorder and I was doing the same thing as gabbie	 Thanks I bet you have Atleast you have helped people	 Because I thing you have	 Love you gabbie <3																																	
Gabbie love that you got this off your chest and told this to us in this incredible speech and I really think you helped a lot of people. I respect you so much for this video.																																				
This was awesome	 I have struggled with a lot and I am only 13	 things can be horribly rough for anyone																																		
I had this strange mix of bulimia and anorexia where I would starve	 then binge	 then purge like a cycle. It's a lot more common do you think																																		
This was very inspirational to me. I'm a year late watching this but still it hits home. I can't say I know exactly how you feel or felt but I've definitely been through similar things and just hearing you talk about your struggle is very inspirational. Thanks Gabby																																				
"This may be of you as a more nervous being but you are so true to yourself and you've grown so much from this moment on to be as happy as you can be for yourself and hopefully spread the happiness for everyone else. This helped me in some sense I'm not entirely sure of. I don't even care if some of what you said in the end is something you read somewhere about being ""the best you can be;"" however, it really hits home and I deeply appreciate your honesty. I've been going through a lot of obsession over the possibility of death and not eating healthy and my weight but you gave me more hope Thank you. <3 one of your many close followers (that's probably not the best comment to have been made on a video but I'm simply being as honest as you were here)"																																				
Love u gabby!!!																																				
when she was saying my calorie intake is so low it was like 5-800 i was like??? i get 300 on a good day																																				
it took me the longest time to realise when you said you ate the goldfish it wasnt a legit goldfish																																				
If I only eat breakfast will I lose weight																																				
